endpoint,route,methods,module,action,scope_param,scope_type,csrf,status
login,/,"GET, POST",authenticated_user,access,-,-,Missing/No,Public / Auth
global_favicon,/LOGO.jpg,GET,,,-,-,N/A (GET),Public / Auth
global_logo_png,/Logo.png,GET,,,-,-,N/A (GET),Public / Auth
active_calls,/active-calls,GET,active_calls,view,-,-,N/A (GET),Secured (Role/Scope)
announcement_list,/announcements,GET,announcements,view,-,-,N/A (GET),Secured (Role/Scope)
announcement_add,/announcements/add,"GET, POST",announcements,add,-,-,Missing/No,Secured (Role/Scope)
announcement_delete,/announcements/delete/<num>,POST,announcements,delete,num,announcements,Missing/No,Secured (Role/Scope)
announcement_edit,/announcements/edit/<num>,"GET, POST",announcements,edit,num,announcements,Missing/No,Secured (Role/Scope)
announcement_export,/announcements/export,GET,announcements,view,-,-,N/A (GET),Secured (Role/Scope)
announcement_import,/announcements/import,POST,announcements,add,-,-,Missing/No,Secured (Role/Scope)
api_apply_changes,/api/apply-changes,POST,asterisk_reload,execute,-,-,Missing/No,Secured (Role/Scope)
api_call_events,/api/calls/<callid>/events,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
api_cdr_list,/api/cdr-list,GET,cdr,view,-,-,N/A (GET),Secured (Role/Scope)
api_dashboard_status,/api/dashboard-status,GET,dashboard,view,-,-,N/A (GET),Secured (Role/Scope)
api_extensions_list,/api/extensions-list,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
api_extensions_status,/api/extensions-status,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
api_hangup,/api/hangup,POST,active_calls,hangup,-,-,Missing/No,Secured (Role/Scope)
api_hangup_all,/api/hangup-all,POST,active_calls,hangup,-,-,Missing/No,Secured (Role/Scope)
api_inbound_routes_list,/api/inbound-routes-list,GET,inbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
api_live_calls,/api/live-calls,GET,active_calls,view,-,-,N/A (GET),Secured (Role/Scope)
api_outbound_routes_list,/api/outbound-routes-list,GET,outbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
privilege_details_api,/api/privileges/<int:privilege_id>/details,GET,privileges,view,-,-,N/A (GET),Secured (Role/Scope)
profile_info_api,/api/profile/info,GET,,,-,-,N/A (GET),Secured (Session)
api_queue_stats_unified,/api/queue-stats,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
api_queues_list,/api/queues-list,GET,queues,view,-,-,N/A (GET),Secured (Role/Scope)
scope_options_api,/api/scopes/options/<scope_type>,GET,privileges,view,-,-,N/A (GET),Secured (Role/Scope)
api_system_info_status,/api/system-info-status,GET,system,view,-,-,N/A (GET),Secured (Role/Scope)
api_trunks_list,/api/trunks-list,GET,trunks,view,-,-,N/A (GET),Secured (Role/Scope)
api_trunks_status,/api/trunks-status,GET,trunks,view,-,-,N/A (GET),Secured (Role/Scope)
user_activity_api,/api/users/<username>/activity,GET,users,view,-,-,N/A (GET),Secured (Role/Scope)
call_details_endpoint,/call-center/call-details/<uid>,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
queue_live,/call-center/live,GET,queue_live,view,-,-,N/A (GET),Secured (Role/Scope)
queue_live_api,/call-center/live/api,GET,queue_live,view,-,-,N/A (GET),Secured (Role/Scope)
queue_live_stream,/call-center/live/stream,GET,queue_live,view,-,-,N/A (GET),Secured (Role/Scope)
queue_detail_view,/call-center/queues/<num>,GET,queue_stats,view,num,queue_stats,N/A (GET),Secured (Role/Scope)
queue_detail_api,/call-center/queues/<num>/api,GET,queue_stats,view,num,queue_stats,N/A (GET),Secured (Role/Scope)
queue_stats,/call-center/stats,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
queue_stats_api,/call-center/stats/api,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
queue_stats_export,/call-center/stats/export,GET,queue_stats,view,-,-,N/A (GET),Secured (Role/Scope)
queue_realtime_api,/call-center/stats/realtime-api,GET,queue_live,view,-,-,N/A (GET),Secured (Role/Scope)
